Extensometer_1_mm,Force_1_N,Extensometer_2_mm,Force_2_N
0.0,6.618430062783518,3.3929875,16992.32953410994
8.642085303196285e-05,12.37217897067171,3.39301484375,16998.12690352917
0.00014649387856867756,18.053027598024467,3.3930304687499997,17003.79364552586
0.00019075820976665684,23.728607586001594,3.3930470703099997,17009.726166261047
0.00023502255175670284,29.866956989550527,3.39306171875,17016.05848607733
0.00029193383626725713,35.938394616480295,3.3930778320299995,17021.940678498206
0.00034884513156987823,41.94855554153365,3.3930919921849996,17027.926920467766
0.00040364859592437007,47.97714907033157,3.3931041992199997,17033.826642975648
0.00045318249909663896,53.803433519848106,3.3931129882799995,17039.794789371525
0.0005016624813988099,59.58697678980812,3.3931256835949997,17045.49263313549
0.0005385802085107716,66.05751285984012,3.3931344726549995,17051.173512299123
0.0005331686160314628,71.76166180025862,3.39314423828,17057.14561710174
0.0005290361279252004,78.0141405525235,3.393154492185,17062.8689077662
0.0005247068541432614,84.27277179984115,3.3931623046849997,17069.79216116062
0.0005204759726953908,90.6225990836628,3.39317109375,17075.759742069822
0.000516835447267009,96.29043812450962,3.393176464845,17081.65550617096
0.0005129981361629509,102.19529525142508,3.3931818359349997,17087.50998974463
0.000508668862381012,108.10957904125688,3.39318623047,17093.305097217148
0.0005048315512769538,113.84180439522049,3.393192089845,17099.5446772183
0.0005022733405157815,119.66286770624234,3.393196972655,17105.85777048754
0.000497747289118487,125.73685624357496,3.3932008789049997,17111.737135475025
0.000494205150986473,131.4651627748625,3.393203808595,17117.5181057806
0.000491253370889028,137.34947577077907,3.39320722656,17124.545408723712
0.0005013684238484545,143.31732811358427,3.39320966797,17130.33599230281
0.0005570393279823029,149.1910043050943,3.393212109375,17136.54786345675
0.0005908785663733796,154.92032305753486,3.3932150390599998,17142.935035480765
0.0006279924652031404,160.65655205717619,3.39321796875,17149.217592469413
0.0006727474246871883,166.64851675191625,3.393220898435,17155.626818473855
0.0007175024959496508,172.42738344705216,3.393223828125,17161.285078170382
0.0007622575672121133,178.26533219026848,3.393227246095,17167.92106433256
0.0008070125266961611,184.04458341634515,3.393231152345,17175.285962822225
0.0008550423701757227,189.8627853647781,3.393235546875,17181.87501359016
0.0008877899805682948,195.60880293880953,3.393239453125,17187.76512282452
0.0009172627069653536,202.071687974093,3.3932438476550004,17193.80508602846
0.0009652925504449149,208.1226894779793,3.3932477539050003,17199.973414708224
0.0010067728494902789,214.03574050685384,3.393252148435,17206.11177259407
0.0010418931759318044,219.71830482078659,3.39325703125,17212.94963750017
0.001025168861969257,225.5217588766665,3.3932614257800005,17218.788287446867
0.0010119654538373723,231.40201167823753,3.39325283203125,17224.77113649636
0.0009926004943025236,237.30044487649494,3.3932407470675003,17230.80035545343
0.0009785168709798718,242.96888898808686,3.393229760745,17236.758323089107
0.0009595919965066092,248.85210493984877,3.39321767578125,17242.89781194831
0.0009397869068425797,255.08791879972344,3.3932044921875,17249.45576094897
0.00092438293819998,261.2435127195072,3.3931891113337507,17255.48384893268
0.000916460911347887,267.238898608647,3.39317373046875,17262.00164837923
0.0009045778485359503,273.1898485546574,3.3931594482450005,17268.203340772976
0.0008953354763639095,279.0274975899345,3.39314296875,17273.900619050262
0.0008843326287427398,285.08935078316495,3.39313088378625,17279.763584924098
0.0008724495659308031,291.1636446833035,3.3931166015625,17285.433719840854
0.0008614467183096334,296.8729395524885,3.3931012207087505,17291.716276829502
0.0008469230099253955,303.43536155277127,3.39308583984375,17297.45653209429
0.0008323992564735631,309.4896994280557,3.3930715576200003,17303.276520980624
0.00083439130953322,315.75500341816957,3.3930583740262503,17309.243536403148
0.0008467912666024614,321.48796390481414,3.3930396972712504,17315.278975713663
0.0008591912236717029,327.5337063825984,3.39302541503625,17321.027147791938
0.0008768373276941163,333.4136538213635,3.3930111328125006,17327.659175547375
0.0008906680565539323,339.17472465075383,3.3929946533175,17333.63128034999
0.0009054526658319991,345.1533608245018,3.3929803710937505,17339.45240020968
0.0009192833946918148,351.0207714236235,3.3929649902400003,17346.223537687816
0.0009369294987142284,356.9874758284731,3.3929474121150003,17352.196773463795
0.0009512371677831697,362.7980606713581,3.39293312988,17358.138907472498
0.0009669755598058834,368.8807124645923,3.3929166503962502,17364.211103417067
0.000982714000665399,375.4474434733587,3.392900170845,17370.234102020673
0.0009979755013157891,381.5197525152588,3.3928836913950002,17375.985667019013
0.0010165754369196515,387.3449608436277,3.392867211945,17381.798304578537
0.0010370830845232134,393.31544269948404,3.3928529297325003,17387.475225335427
0.001045190775057534,399.7557139225284,3.3928375488449998,17393.43206199775
0.0010523445851736036,405.9760843412366,3.3928221679575,17399.698785359426
0.0010585445637082247,411.9736303894849,3.3928056885075004,17405.877858286065
0.0010656984226610961,417.8244948484187,3.3927892089450005,17411.751568406777
0.001078058429740311,424.1539363375112,3.39277382817,17417.710667015814
0.0010911642431242503,430.00972053054056,3.3927573486075002,17424.86294251468
0.0011103859536396319,435.899778871102,3.39273867192,17431.083295968787
0.001125239178985217,442.0129669449291,3.3927243895949997,17436.958137062855
0.001147082141646024,447.6704236503743,3.3927112060574998,17442.706874627806
0.0011680513535916892,453.56088914134364,3.3927025976894996,17448.696509517435
0.0011925153894606464,459.6728331444799,3.3927350683094994,17455.368121340303
0.0012196006774750291,465.4040688967576,3.392757798009499,17462.070834930444
0.0012353275640671186,471.86833937440133,3.3927772801819995,17468.00731407237
0.0012685288386815813,477.68977590663036,3.392796762686999,17473.840309152292
0.0012956140372273265,483.7724616290652,3.3928194920544996,17480.749425379774
