strain_1_mm/mm,stress_1_MPa,strain_2_mm/mm,stress_2_MPa
-0.00059394188,5.004679677556216,0.35151806,791.025243954179
-0.00059469896,5.8759278744166314,0.3515301812348035,746.9484089944846
-0.00057279688,6.77276919813322,0.35153872304456435,747.8596096733135
-0.00057978648,7.630258803563852,0.3515402687053782,748.7338141705558
-0.00058192784,8.557887568943572,0.35155111544793166,749.5920661858294
-0.00057152528,9.422591429783624,0.3515797779651291,750.4501060670344
-0.0005832342799999999,10.28661900721256,0.3516123724265023,751.3022910479423
-0.00057522304,11.152341535850656,0.35156529756382027,752.1521849809079
-0.00056584724,12.038577428935088,0.3516078710283426,753.0375901569793
-0.00054951332,12.92210861264319,0.3516035594481776,753.9002121340687
-0.0005432726,13.801857445905812,0.3516413061122636,754.8178616885872
-0.00055441892,14.70003012303776,0.35166362328506734,755.7203224437845
-0.00053328008,15.561437420449723,0.3516698330451792,756.5833686890114
-0.00052233864,16.423933814170557,0.3517342626959467,757.4475604582096
-0.00052045444,17.279252015273652,0.35171294884682913,758.3302503182011
-0.00052599952,18.15613067458634,0.3517442688159522,759.188969028426
-0.00051987764,19.010619007212558,0.3517476313061438,760.0386508273228
-0.0005207044,19.86076622825626,0.35176918920696876,760.9158676283411
-0.0005021474,20.736711073398386,0.3517666944561815,761.8176919813322
-0.0005180415599999999,21.604587187102247,0.3517659623010591,762.7588035638523
-0.00050478256,22.453912176495542,0.35182545668396475,763.6260500636403
-0.00050022832,23.31195460330929,0.3518364118939438,764.5086550700042
-0.00049608928,24.161575731862538,0.3518681114990562,765.3799745439118
-0.00048692732000000003,25.03898005939754,0.35190067884357296,766.2326686465846
-0.00047874936,25.892925753075943,0.3519084342644987,767.0980059397539
-0.00047064696000000003,26.817829868476878,0.35190423115175923,768.01506151888
-0.00047911507999999996,27.6727055579126,0.35192256214667456,768.8747984726348
-0.0004657352,28.542742469240558,0.3519234570029352,769.7416631310989
-0.00045305911999999997,29.392104794229954,0.35196180023786167,770.648663555367
-0.00047620412,30.255310988544757,0.3519712097870268,771.5156979210861
-0.00046604564,31.149329656342807,0.35197571118518645,772.3831989817564
-0.00044069652,32.01187781077641,0.3520233555018525,773.240135765804
-0.00045807844,32.88627577428935,0.35201725420916613,774.0904115400934
-0.00045161952,33.785504454815445,0.35205188243476804,774.6121764955452
-0.00044217504,34.63504539669071,0.35203471746467724,774.9421722528638
-0.00043390872,35.50570683071701,0.35206221395705023,775.8030547305897
-0.00042097959999999997,36.374904963937205,0.35204561844094345,776.685787017395
-0.00041564271999999997,37.32589308442936,0.35206793561374716,777.5444633008062
-0.0004208956,38.214502333474755,0.3520897104494232,778.3948239287229
-0.00040441748,39.11152991090369,0.3521119462716578,779.2578277471362
-0.00042784931999999997,39.960693254136615,0.3520999335042798,780.1422571064913
-0.0004054696,40.81426347051337,0.3521606481457228,781.016716164616
-0.000394532272,41.689741196436145,0.3521605667951536,781.9227831989816
-0.00039685830399999997,42.57256682223165,0.3522064756330111,782.7897327110734
-0.00039482858,43.4294654221468,0.3522249964459211,783.6956724649978
-0.00040259063999999997,44.29984302078914,0.3522513269134696,784.5448027153161
-0.000378820708,45.16256682223165,0.3522057163610323,785.4452694102673
-0.00037814047199999997,46.01170980059398,0.35225496057222505,786.373058973271
-0.000372657852,46.9128595672465,0.3522949308185345,787.2297836232499
-0.00037576015999999995,47.76165040305473,0.352295391805093,788.1064064488758
-0.00037647623599999997,48.62000848536275,0.3523418158632218,788.9704285108188
-0.000371028708,49.47462452269834,0.3523887822584782,789.8404327535002
-0.00036244072,50.37285532456512,0.3523656786968394,790.7008909630887
-0.000366769544,51.229694526941024,0.35242932195877175,791.5639372083157
-0.000352946072,52.09915570640645,0.35243775530110705,792.4130674586338
-0.00035387013199999996,52.96262621977089,0.3524496053673467,793.3074246924057
-0.000338941252,53.819266016122185,0.3524750680954909,794.1806533729317
-0.00033870227599999995,54.67240135765804,0.35249198901387424,795.0407721680102
-0.00032693821999999997,55.54658464149342,0.3524973039177255,795.9040729741196
-0.00033336334000000004,56.15262197708952,0.35253646065834343,796.7660161221893
-0.000329680184,56.41820534577853,0.35257019402768464,797.6421722528638
-0.000329975224,57.28898175647009,0.35257282436275383,798.5315655494272
-0.000320243648,58.161718285956724,0.35260254443735034,799.4160373355961
-0.000309960952,59.02223589308443,0.35261878743432407,800.3353415358506
-0.000320460832,59.89382265591854,0.3526298511117286,801.21404327535
-0.00030668755999999997,60.74927450148494,0.35264734148409604,802.0843869325414
-0.000299022848,61.612774713619004,0.35268883027436304,802.9717861688587
-0.000300564656,62.46174798472635,0.3527400268992153,803.0391599490879
-0.000295409096,63.31531183708103,0.3527097644874912,803.8852778956301
-0.000300240928,64.19420449724225,0.3527631033439978,804.7697072549851
-0.000301618056,65.04785744590582,0.3527616932674658,805.6445905812474
-0.00028293507200000004,65.90041154009334,0.35281587274652026,806.5036487059822
-0.000290349816,66.7634280865507,0.35284556570426034,807.4011455239711
-0.00028506593600000004,67.65356385235468,0.3528650356071438,808.3123462028001
-0.00027300272,68.51064488756894,0.35289678944596903,809.1658464149342
-0.00025477869600000003,69.37288926601612,0.3529340480066401,810.0302078913874
-0.000268376804,70.23575307594399,0.35296344267895996,810.9362749257531
-0.000253642312,71.08720407297412,0.35304392550870656,811.8662706830717
-0.000243522244,71.95077641069156,0.35314062421857056,812.7375901569792
-0.00024456974,72.81470937632584,0.3532365365395994,813.6504030547306
-0.000244479588,73.74609249045398,0.3533605148069853,814.5282138311413
-0.0002337154,74.60910903691133,0.3534192228010559,815.1753924480272
