,Strain_DIC,Fuerza_kN
0,-2.502010381944191e-05,0.093770631
1,-3.50236963859143e-05,0.21808557
2,-7.453931124997611e-05,0.43591991
3,-0.00011555825993371327,0.81190437
4,-9.947253366475487e-05,1.0715072
5,-4.1131112120894556e-05,1.2621393
6,-0.00012147711250005291,1.4511063
7,-9.316187290106718e-05,1.7026539000000003
8,-3.908346439288699e-05,1.9683534
9,-0.00012287820788917857,2.2320964
10,-4.8965150000068345e-06,2.5161486
11,4.430613403201284e-05,2.8772671
12,-4.792197818154266e-05,3.4840891000000003
13,-4.3080442655399464e-05,3.9334884
14,-2.0512042812480828e-05,4.2101521
15,-1.3767132538800056e-05,4.4514074
16,-9.640251818730777e-07,4.6711907
17,-8.346669146159106e-05,4.8611417
18,-8.950796e-05,5.0797691
19,-1.946954240862462e-05,5.291862499999999
20,-6.38918525032006e-06,5.5073357
21,-0.00010059147333246265,5.7122145
22,-1.7590521875059686e-05,5.9548206
23,-3.621386912799613e-06,6.2464185
24,-2.3231768249526547e-05,6.5105267
25,-5.284000965120127e-05,6.7868333
26,-0.0001343371431250411,7.030341099999999
27,-9.127563784271805e-05,7.296621299999999
28,-6.488657674963696e-05,7.5789332
29,-2.6029689595959997e-05,7.8554668
30,-5.8669577430548204e-05,8.1527014
31,-4.81585929712636e-05,8.430254
32,-7.138364263608534e-05,8.6851377
33,-0.00015799618544699463,8.9442215
34,-4.777399861095272e-05,9.1868019
35,-3.100534074236419e-05,9.5394001
36,-7.246155546881997e-05,9.8479691
37,-4.915131964721799e-05,10.086481
38,-1.4696596375002011e-05,10.311338
39,-3.254797399007002e-05,10.56845
40,-8.776010314620722e-05,10.844192
41,2.0179700799265662e-05,11.111114
42,-3.3070087499653255e-06,11.370978999999998
43,-8.860466348959338e-05,11.646168
44,-4.5770031555701103e-05,11.917544
45,-2.6454249307324047e-05,12.166029
46,-2.6037209117488857e-05,12.407009
47,-2.5620168927653667e-05,12.665917
48,-2.5203128737818477e-05,12.947693000000001
49,-2.4786088966658825e-05,13.24832
50,-2.4369048776823634e-05,13.569843
51,-2.3952008586988444e-05,13.835646
52,-2.3534968397153254e-05,14.066306999999998
53,-2.3117928625993602e-05,14.292636
54,-2.2700888436158412e-05,14.549043
55,-2.228384824632322e-05,14.863497
56,-2.186680805648803e-05,15.15022
57,-2.144976828532838e-05,15.375934
58,-2.103272809549319e-05,15.628778000000002
59,-2.0615687905657996e-05,15.89104
60,-2.019864771582281e-05,16.145494
61,-1.9781607944663157e-05,16.461958
62,-1.9364567754827963e-05,16.738211
63,-1.8947527564992773e-05,16.967722
64,-1.8530487375157587e-05,17.190464
65,-1.8113447603997934e-05,17.486336
66,-1.769640741416274e-05,17.768934
67,-1.727936722432755e-05,17.997854
68,-1.6862327034492364e-05,18.235731
69,-1.6445287263332712e-05,18.542957
70,-1.602824707349752e-05,18.813614
71,-1.561120688366233e-05,19.049284
72,-1.519416669382714e-05,19.281254
73,-1.4777126922667486e-05,19.551859
74,-1.4360086732832296e-05,19.795946
75,-1.3943046542997104e-05,20.050478
76,-1.3526006353161917e-05,20.272648
77,-1.3108966582002264e-05,20.485863
78,-1.2691926392167073e-05,20.732784
79,-1.2274886202331882e-05,21.00176
80,-1.185784601249669e-05,21.258276
81,-1.1440806241337041e-05,21.495098
82,-1.1023766051501851e-05,21.700039
83,-1.0606725861666657e-05,21.975313
84,-1.0189685671831467e-05,22.223614
85,-9.772645900671819e-06,22.448238
86,-9.355605710836625e-06,22.718133999999996
87,-8.938565521001435e-06,22.971237
88,-8.521525331166245e-06,23.184687
89,-8.104485560006596e-06,23.424234
90,-7.687445370171403e-06,23.700905
91,-7.270405180336212e-06,23.91288
92,-6.853364990501022e-06,24.149164
93,-6.43632521934137e-06,24.371853
94,-6.01928502950618e-06,24.591351
95,-5.60224483967099e-06,24.835663
96,-5.1852046498358e-06,25.086458
97,-4.768164878676148e-06,25.295639
98,-4.3511246888409575e-06,25.503916
99,-3.934086173707916e-06,25.769821000000004
100,-3.517043471819508e-06,25.985794
101,-3.10000495668646e-06,26.198534
102,-2.6829622547980516e-06,26.435129
103,-2.2659237396650102e-06,26.662943
104,-1.848885224531962e-06,26.888201000000002
105,-1.4318425226435505e-06,27.130947
106,-1.0148040075105125e-06,27.360283
107,-5.977654923774711e-07,27.607635
108,-1.8072279048906296e-07,27.846462
109,2.3631572464398521e-07,28.096382000000002
110,6.533584265323968e-07,28.316921
111,1.0703969416654348e-06,28.52169
112,1.487435456798483e-06,28.729586000000005
113,1.9044781586868945e-06,28.971464
114,2.321516673819936e-06,29.226406
115,2.738555188952974e-06,29.484985
116,3.1555978908413854e-06,29.692453
117,3.5726364059744336e-06,29.887568
118,3.989679107862845e-06,30.147253
119,4.406717622995883e-06,30.366123
120,4.823756138128928e-06,30.567852
121,5.2407988400173395e-06,30.811242999999997
122,5.6578373551503775e-06,31.030531
123,6.074875870283422e-06,31.266026
124,6.491918572171827e-06,31.517235
125,6.908957087304879e-06,31.71694
126,7.32599978919329e-06,31.913814999999996
127,7.743038304326328e-06,32.152359
128,8.160076819459373e-06,32.378493999999996
129,8.577119521347785e-06,32.567524
130,8.99415803648083e-06,32.797153
131,9.411196551613867e-06,33.036232
